"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"group"
"  ACT",,,,,,,,,,,,,,,,,,,,,,,"Local Government"
"The Australian National University",0,0,0,0,0,0,0,0,0,134470,181317,49000,18182,104540,356791,107437,88755,49091,4800,138850,37988,18063,"Local Government"
"University of Canberra",0,0,6446,143264,0,0,19500,0,28500,67773,92345,7700,36000,50000,0,283806,190336,55596,297005,520210,151793,74600,"Local Government"
"  OTHER",,,,,,,,,,,,,,,,,,,,,,,"Local Government"
"Australian Catholic University",0,0,0,0,0,0,0,0,0,0,0,0,3465,57107,14850,19996,0,0,0,9078,3269,8297,"Local Government"
"Charles Sturt University",163240,232617,239496,221378,225870,94355,355257,80265,907732,640109,684952,575120,629217,870774,1367818,1295613,1074202,1380191,1596927,1172943,836053,797420,"State Government"
"Macquarie University",523422,593564,735669,718538,1020977,1459335,1132747,426790,522517,354978,684545,1337147,3242886,2542121,2494466,4482262,2232381,1908460,2537096,4005995,1459374,1547553,"State Government"
"Southern Cross University",21647,69920,133750,237351,369288,572936,405942,374842,257064,941266,972695,961043,493781,636397,569030,534040,822842,1214128,1391886,1830644,925116,1281421,"State Government"
"The University of Sydney",1891981,2524322,1527287,1596962,1912776,1686997,1924585,2391287,1986136,1527394,2275115,4541722,6786913,7732431,28250021,34778195,36296427,24255200,19572269,18711336,16254959,22864867,"State Government"
"The University of New England",148665,410407,733296,569596,598690,633849,673756,621786,763098,739595,839850,1136426,1067705,931831,1321149,2098310,1846804,2558407,2081876,2140288,2448418,2993555,"State Government"
"The University of New South  Wales",3931115,3274647,3043815,4918332,3558122,2652111,2776301,3359787,5254337,5579305,8747235,10271294,10293603,12766989,14815154,23543604,35179987,36472807,35232510,33156811,33045164,34170800,"State Government"
"The University of Newcastle",819931,691566,1956155,2064369,1894266,1283664,1764600,879281,1165200,1918744,1616722,1965851,3619787,2964212,2818745,7153226,9838885,12146509,8858427,11858737,13069386,12539708,"State Government"
"University of Technology, Sydney",566114,653152,426842,638687,756031,582757,665765,532549,1686068,1949246,2227093,3122767,2234656,2700961,2992368,3308893,4267557,3956105,4738611,5743814,4239660,4887206,"State Government"
"University of Western Sydney",312980,318684,775840,616534,771851,1028738,1019373,1835504,1614724,2646144,2905168,2147015,1913846,2037372,2221494,2794483,4252507,1513464,2248908,2711375,2700671,3218330,"State Government"
"University of Wollongong",399558,287640,595320,406464,991498,1103586,807425,1580596,1182193,977368,1135104,1515924,1566265,2443250,2821717,2798962,3931275,13283197,5069557,4336997,3479064,4119575,"State Government"
"  VICTORIA",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"Deakin University",199141,348328,238989,297389,211273,310474,154776,156137,1329010,2035819,2397181,5981229,5703352,4529819,3210317,2894542,4676693,4117575,4665092,5830074,10296293,7282843,"State Government"
"La Trobe University",715942,836048,2018540,1468011,1751210,1449618,1554479,1589065,1644806,1978651,2123256,1869723,4562789,4014429,6388474,8496480,8898206,4775708,5051857,5365894,7690118,11828121,"State Government"
"Monash University",1626011,1288133,2699374,2367843,2452685,3912479,4907228,4989089,4577311,7219527,9709379,9860049,9795785,10706207,30586704,43054403,28898216,26606871,35381649,33663847,32169376,32167339,"State Government"
"RMIT University",3152523,3279843,1349567,1033976,1358308,4376576,1872875,2400847,3861495,1684103,4416549,4158537,4233685,3906810,6055037,3765335,3539432,2404123,2579665,7641857,5641205,5295614,"State Government"
"Swinburne University of Technology",402167,225982,59366,113000,303254,306780,236528,316041,206226,194516,652367,1028507,1049966,565432,2829705,2237702,1039797,715343,2975544,1383039,1852776,1059974,"State Government"
"The University of Melbourne",3865923,6402480,6513049,7352146,8247272,8682769,8082593,8242354,10213684,9980173,9745149,12332681,14799563,10099261,18506733,21848197,76177120,34099914,46417744,48771902,45350253,31764915,"State Government"
"University of Ballarat",108985,87299,125075,113921,206357,0,197269,190896,169108,393991,875079,785467,1317244,1320294,911366,1230989,1602077,544233,227574,565845,798139,853386,"State Government"
"Victoria University",160094,352666,203000,813133,692188,320425,206777,256715,420420,740922,842312,1168620,887366,528239,1036224,1958616,2135636,2178675,1365291,2431733,2237575,934266,"State Government"
"  QUEENSLAND",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"Bond University",0,0,0,0,0,0,0,0,0,0,0,0,7500,0,106000,421797,210606,481305,290529,363046,365943,221627,"State Government"
"Central Queensland University",550048,490631,502539,628910,595825,754925,658623,1026827,866407,834972,1352169,1722075,1661437,2135115,1648272,1117228,1423817,1275494,1461884,1835284,2083128,2251102,"State Government"
