EPBC_Status,FFG_Status,DSE_Advisory,Origin,Scientific,Common_Name,Count_of_Sightings,Taxon_Id
,,,,Puffinus huttoni,Hutton's Shearwater,1,10913
,,,,Puffinus tenuirostris,Short-tailed Shearwater,1,10071
,,,,Rankinia diemensis,Mountain Dragon,1,12182
,,,,Rattus lutreolus,Swamp Rat,1,11398
,,,,Recurvirostra novaehollandiae,Red-necked Avocet,1,10148
,,,,Retropinna semoni,Australian Smelt,29,4683
,,,,Rhinoplocephalus nigrescens,Eastern Small-eyed Snake,1,12650
,,,,Rhipidura albiscarpa,Grey Fantail,1,10361
,,,,Rhipidura leucophrys,Willie Wagtail,1,10364
,,,,Rhipidura rufifrons,Rufous Fantail,1,10362
,,,,Rhombosolea tapirina,Greenback Flounder,13,5073
,,,,Sericornis frontalis,White-browed Scrubwren,1,10488
,,,,Sillaginodes punctatus,King George Whiting,8,4891
,,,,Smicrornis brevirostris,Weebill,1,10465
,,,,Stagonopleura bella,Beautiful Firetail,1,10650
,,,,Steganopus tricolor,Wilson's Phalarope,1,10886
,,,,Stercorarius longicaudus,Long-tailed Jaeger,1,10933
,,,,Stercorarius parasiticus,Arctic Jaeger,1,10128
,,,,Stercorarius pomarinus,Pomarine Jaeger,1,10945
,,,,Stercorarius skua,Great Skua,1,10980
,,,,Sterna hirundo,Common Tern,1,10953
,,,,Sterna paradisaea,Arctic Tern,1,10952
,,,,Stigmatopora argus,Spotted Pipefish,1,4821
,,,,Stipiturus malachurus,Southern Emu-wren,1,10526
,,,,Stratiomyidae EPA sp. 3,Soldier Flies,1,4570
,,,,Strepera graculina,Pied Currawong,1,10694
,,,,Strepera versicolor,Grey Currawong,1,10697
,,,,Sugamel niger,Black Honeyeater,1,10589
,,,,Tachybaptus novaehollandiae,Australasian Grebe,1,10061
,,,,Tachyglossus aculeatus,Short-beaked Echidna,1,11003
,,,,Tadarida australis,White-striped Freetail Bat,1,11324
,,,,Tadorna tadornoides,Australian Shelduck,1,10207
,,,,Taeniopygia guttata,Zebra Finch,1,10653
,,,,Tandanus tandanus,Freshwater Catfish,1,528545
,,,,Tasmanogobius lasti,Lagoon Goby,5,5044
,,,,Tetractenos glaber,Smooth Toadfish,2,5107
,,,,Thalasseus bergii,Crested Tern,1,10115
,,,,Thalassoica antarctica,Antarctic Petrel,1,10949
,,,,Threskiornis molucca,Australian White Ibis,1,10179
,,,,Threskiornis spinicollis,Straw-necked Ibis,1,10180
,,,,Tiliqua nigrolutea,Blotched Blue-tongued Lizard,3,12578
,,,,Tiliqua scincoides,Common Blue-tongued Lizard,1,12580
,,,,Tipulidae EPA sp. 13,,1,4542
,,,,Tipulidae SRV sp. 28,,1,4554
,,,,Todiramphus sanctus,Sacred Kingfisher,1,10326
,,,,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,16,10256
,,,,Trichoglossus haematodus,Rainbow Lorikeet,218,10254
,,,,Trichosurus vulpecula,Common Brushtail Possum,72,11113
,,,,Tringa flavipes,Lesser Yellowlegs,1,10809
,,,,Tringa nebularia,Common Greenshank,1,10158
,,,,Tringa stagnatilis,Marsh Sandpiper,1,10159
,,,,Tryngites subruficollis,Buff-breasted Sandpiper,1,10887
,,,,Turnix varia,Painted Button-quail,1,10014
,,,,Tursiops truncatus,Bottlenose Dolphin,2,11612
,,,,Tyto javanica,Pacific Barn Owl,1,10249
,,,,Tyto longimembris,Eastern Grass Owl,4,10252
,,,,Vanellus miles,Masked Lapwing,1,10133
,,,,Vanellus tricolor,Banded Lapwing,1,10135
,,,,Vespadelus darlingtoni,Large Forest Bat,1,11381
,,,,Vespadelus regulus,Southern Forest Bat,1,11378
,,,,Vespadelus vulturnus,Little Forest Bat,1,11379
,,,,Wallabia bicolor,Black Wallaby,1,11242
,,,,Zoothera lunulata,Bassian Thrush,1,10779
,,,,Zosterops lateralis,Silvereye,1,10574
