"Object ID","Object Type","Longitude","Latitude","Distance (Parsecs)","Name","Map Sector","Diameter (Parsecs)","Distance source (ADS)"
"6378","st","77.5","1.2","1740","HILTNER    960","4_p42.5xp34.0","0","5044B_lumstrs2.dat"
"6384","st","77.8","1","1740","HILTNER    972","4_p42.5xp34.0","0","5044B_lumstrs2.dat"
"12641","st","86","1.1","2840","HILTNER   1018","4_p49.5xp33.0","0","5044B_lumstrs3.dat"
"12669","st","88.9","0.6","1960","HILTNER   1035","4_p44.0xp31.5","0","5044B_lumstrs3.dat"
"6452","st","90.2","-0.1","790","HILTNER   1042","4_p37.0xp31.5","0","5044B_lumstrs2.dat"
"12715","st","98.8","-0.1","2580","HILTNER   1070","4_p48.0xp29.0","0","5044B_lumstrs3.dat"
"12733","st","101.2","-1.8","1450","HILTNER   1098","4_p40.5xp29.5","0","5044B_lumstrs3.dat"
"6522","st","102.5","-0.7","3470","HILTNER   1106","4_p52.0xp27.0","0","5044B_lumstrs2.dat"
"6547","st","104.5","-0.7","3470","HILTNER   1137","4_p51.5xp26.5","0","5044B_lumstrs2.dat"
"6560","st","105.7","0.2","3470","HILTNER   1145","4_p52.5xp25.5","0","5044B_lumstrs2.dat"
"6620","st","111","-1.1","2630","HILTNER   1202","4_p47.5xp25.5","0","5044B_lumstrs2.dat"
"6636","st","112","1","2630","HILTNER   1207","4_p47.0xp25.5","0","5044B_lumstrs2.dat"
"6630","st","111.4","-0.7","2630","HILTNER   1208","4_p47.0xp25.5","0","5044B_lumstrs2.dat"
"6662","st","114.9","-0.3","2510","HILTNER   1226","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"12856","st","116.4","-0.9","1560","HILTNER   1246","4_p40.5xp27.0","0","5044B_lumstrs3.dat"
"6704","st","116.6","-1.1","2510","HILTNER   1251","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6502","st","101.2","1.6","3470","HOAG         2","4_p53.0xp27.0","0","5044B_lumstrs2.dat"
"6511","st","101.8","2.3","3470","HOAG         3","4_p55.0xp26.5","0","5044B_lumstrs2.dat"
"6499","st","101.2","1.6","3470","HOAG         3","4_p55.0xp27.0","0","5044B_lumstrs2.dat"
"13302","st","195.6","-2.9","1300","HOAG         4D","4_p29.5xp23.5","0","5044B_lumstrs3.dat"
"12706","st","97.4","0.4","2280","HOAG         5","4_p46.0xp29.5","0","5044B_lumstrs3.dat"
"7115","st","143.7","7.6","1000","HOAG         5","4_p35.5xp26.0","0","5044B_lumstrs2.dat"
"6593","st","109.4","0.1","870","HOAG         5","4_p36.5xp29.5","0","5044B_lumstrs2.dat"
"6500","st","101.2","1.6","3470","HOAG         5","4_p54.0xp27.0","0","5044B_lumstrs2.dat"
"12704","st","97.4","0.4","2720","HOAG         6","4_p49.0xp29.5","0","5044B_lumstrs3.dat"
"7114","st","143.7","7.6","1000","HOAG         6","4_p35.5xp26.0","0","5044B_lumstrs2.dat"
"12453","st","59.4","-0.2","2860","HOAG         6","4_p47.5xp41.0","0","5044B_lumstrs3.dat"
"12705","st","97.4","0.4","2650","HOAG         7","4_p48.5xp29.5","0","5044B_lumstrs3.dat"
"12454","st","59.4","-0.2","3930","HOAG         7","4_p53.0xp44.5","0","5044B_lumstrs3.dat"
"6402","st","78.7","2","1740","HOAG         7","4_p42.5xp33.5","0","5044B_lumstrs2.dat"
"6501","st","101.2","1.6","3470","HOAG         7","4_p52.5xp27.5","0","5044B_lumstrs2.dat"
"6206","st","59.4","-0.1","2000","HOAG         8","4_p42.5xp38.0","0","5044B_lumstrs2.dat"
"6513","st","101.8","2.3","3470","HOAG         8","4_p51.5xp27.5","0","5044B_lumstrs2.dat"
"6512","st","101.8","2.3","3470","HOAG         9","4_p51.5xp27.5","0","5044B_lumstrs2.dat"
"6316","st","75.6","5.3","1740","HOAG        10","4_p42.5xp34.5","0","5044B_lumstrs2.dat"
"12452","st","59.4","-0.2","2670","HOAG        10","4_p46.0xp40.0","0","5044B_lumstrs3.dat"
"6317","st","75.6","5.3","1740","HOAG        13","4_p42.5xp34.5","0","5044B_lumstrs2.dat"
"6315","st","75.6","5.3","1740","HOAG        14","4_p42.5xp34.5","0","5044B_lumstrs2.dat"
"6207","st","59.4","-0.1","2000","HOAG        34","4_p42.5xp38.0","0","5044B_lumstrs2.dat"
"6208","st","59.4","-0.1","2000","HOAG        35","4_p42.5xp38.0","0","5044B_lumstrs2.dat"
"6209","st","59.4","-0.1","2000","HOAG        36","4_p42.5xp38.0","0","5044B_lumstrs2.dat"
"6210","st","59.4","-0.1","2000","HOAG        37","4_p42.5xp38.0","0","5044B_lumstrs2.dat"
"6211","st","59.4","-0.1","2000","HOAG        38","4_p42.5xp38.0","0","5044B_lumstrs2.dat"
"15424","st","225.68","-2.32","1526","HR 2679","4_p24.5xp24.5","0","2000MNRAS.312..753K"
"15345","st","224.17","-0.78","1161","HR 2694","4_p26.5xp26.0","0","2000MNRAS.312..753K"
